Year,CSO anti-system movements,CSO anti-system movements CI (Low),CSO anti-system movements CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Government capacity to regulate online content,Government capacity to regulate online content CI (Low),Government capacity to regulate online content CI (High),Government cyber security capacity,Government cyber security capacity CI (Low),Government cyber security capacity CI (High),Government dissemination of false information abroad,Government dissemination of false information abroad CI (Low),Government dissemination of false information abroad CI (High),Government dissemination of false information domestic,Government dissemination of false information domestic CI (Low),Government dissemination of false information domestic CI (High),Government Internet filtering capacity,Government Internet filtering capacity CI (Low),Government Internet filtering capacity CI (High),Government Internet filtering in practice,Government Internet filtering in practice CI (Low),Government Internet filtering in practice CI (High),Government Internet shut down capacity,Government Internet shut down capacity CI (Low),Government Internet shut down capacity CI (High),Government Internet shut down in practice,Government Internet shut down in practice CI (Low),Government Internet shut down in practice CI (High),Government online content regulation approach,Government online content regulation approach CI (Low),Government online content regulation approach CI (High),Government social media alternatives,Government social media alternatives CI (Low),Government social media alternatives CI (High),Government social media censorship in practice,Government social media censorship in practice CI (Low),Government social media censorship in practice CI (High),Government social media monitoring,Government social media monitoring CI (Low),Government social media monitoring CI (High),Government social media shut down in practice,Government social media shut down in practice CI (Low),Government social media shut down in practice CI (High),Ideology,Ideology CI (Low),Ideology CI (High),Online media fractionalization,Online media fractionalization CI (Low),Online media fractionalization CI (High),Polarization of society,Polarization of society CI (Low),Polarization of society CI (High),Use of social media to organize offline violence,Use of social media to organize offline violence CI (Low),Use of social media to organize offline violence CI (High)
2000,0.454,0.232,0.631,1.694,1.341,2.013,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.73,3.599,3.997,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
2001,0.454,0.232,0.631,1.853,1.496,2.189,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.73,3.599,3.997,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
2002,0.454,0.232,0.631,2.107,1.731,2.461,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.73,3.599,3.997,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
2003,0.454,0.232,0.631,2.178,1.802,2.535,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.73,3.6,3.999,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
2004,0.454,0.232,0.631,2.328,1.985,2.745,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.723,3.59,3.996,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
2005,0.454,0.232,0.631,2.264,1.932,2.519,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.718,3.592,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
2006,0.511,0.294,0.708,2.373,2.068,2.654,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.285,2.001,2.535,1.15,0.846,1.511,3.86,3.764,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
2007,0.511,0.294,0.708,2.496,2.191,2.793,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.285,2.001,2.535,1.15,0.846,1.511,3.86,3.764,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
2008,0.684,0.463,0.875,2.508,2.228,2.818,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.285,2.001,2.535,1.154,0.785,1.452,3.86,3.764,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
2009,0.684,0.463,0.875,2.519,2.236,2.815,3.058,2.75,3.402,3.271,2.893,3.575,1.19,0.81,1.562,1.617,1.321,1.943,2.285,2.001,2.535,1.154,0.785,1.452,3.864,3.766,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132
