Year,CSO anti-system movements,CSO anti-system movements CI (Low),CSO anti-system movements CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Government capacity to regulate online content,Government capacity to regulate online content CI (Low),Government capacity to regulate online content CI (High),Government cyber security capacity,Government cyber security capacity CI (Low),Government cyber security capacity CI (High),Government dissemination of false information abroad,Government dissemination of false information abroad CI (Low),Government dissemination of false information abroad CI (High),Government dissemination of false information domestic,Government dissemination of false information domestic CI (Low),Government dissemination of false information domestic CI (High),Government Internet filtering capacity,Government Internet filtering capacity CI (Low),Government Internet filtering capacity CI (High),Government Internet filtering in practice,Government Internet filtering in practice CI (Low),Government Internet filtering in practice CI (High),Government Internet shut down capacity,Government Internet shut down capacity CI (Low),Government Internet shut down capacity CI (High),Government Internet shut down in practice,Government Internet shut down in practice CI (Low),Government Internet shut down in practice CI (High),Government online content regulation approach,Government online content regulation approach CI (Low),Government online content regulation approach CI (High),Government social media alternatives,Government social media alternatives CI (Low),Government social media alternatives CI (High),Government social media censorship in practice,Government social media censorship in practice CI (Low),Government social media censorship in practice CI (High),Government social media monitoring,Government social media monitoring CI (Low),Government social media monitoring CI (High),Government social media shut down in practice,Government social media shut down in practice CI (Low),Government social media shut down in practice CI (High),Ideology,Ideology CI (Low),Ideology CI (High),Online media fractionalization,Online media fractionalization CI (Low),Online media fractionalization CI (High),Polarization of society,Polarization of society CI (Low),Polarization of society CI (High),Use of social media to organize offline violence,Use of social media to organize offline violence CI (Low),Use of social media to organize offline violence CI (High)
2000,0.935,0.716,1.203,2.971,2.575,3.358,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,3.527,3.343,3.983,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,2.712,2.165,3.143,1.811,1.711,2
2001,0.935,0.716,1.203,2.971,2.575,3.358,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,3.527,3.343,3.983,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,2.712,2.165,3.143,1.811,1.711,2
2002,0.935,0.716,1.203,2.971,2.575,3.358,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,3.527,3.343,3.983,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,2.712,2.165,3.143,1.811,1.711,2
2003,1.231,0.982,1.444,2.971,2.575,3.358,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,3.527,3.343,3.983,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,2.14,1.71,2.652,1.811,1.711,2
2004,1.078,0.827,1.308,3.019,2.619,3.4,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,3.527,3.343,3.983,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,2.14,1.71,2.652,1.811,1.711,2
2005,0.94,0.708,1.144,3.019,2.619,3.4,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,2.849,2.408,3.282,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,2.14,1.71,2.652,1.811,1.711,2
2006,0.94,0.708,1.144,3.019,2.619,3.4,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,2.849,2.408,3.282,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,2.14,1.71,2.652,1.811,1.711,2
2007,0.94,0.726,1.152,3.019,2.619,3.4,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,2.849,2.408,3.282,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,2.14,1.71,2.652,1.811,1.711,2
2008,0.936,0.725,1.153,3.019,2.619,3.4,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,2.849,2.408,3.282,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,1.661,1.088,2.277,1.047,0.926,1.211
2009,0.957,0.768,1.166,3.019,2.619,3.4,1.695,1.3,2.048,2.451,1.986,3.194,3.193,2.885,3.531,2.908,2.53,3.242,1.085,0.741,1.426,3.312,2.958,3.619,0.907,0.262,1.429,3.963,3.927,4,2.945,2.529,3.378,3.466,3.21,3.789,3.936,3.873,4,2.849,2.408,3.282,3.958,3.909,4,3.208,2.866,3.642,1.618,1.185,2.065,1.661,1.088,2.277,1.047,0.926,1.211
2010,1.078,0.847,1.251,3.006,2.656,3.409,1.681,1.25,2.007,2.616,2.098,3.208,2.301,1.876,2.658,1.591,1.223,2.066,1.064,0.744,1.417,3.312,2.958,3.619,1.555,1.035,2.179,3.963,3.927,4,2.411,2.011,2.755,2.898,2.612,3.393,3.936,3.879,4,2.639,2.166,3.096,3.957,3.91,4,3.208,2.866,3.642,1.618,1.185,2.065,1.161,0.727,1.725,1.047,0.926,1.211
2011,1.078,0.847,1.251,3.006,2.656,3.409,1.681,1.25,2.007,2.616,2.098,3.208,2.301,1.876,2.658,1.591,1.223,2.066,1.064,0.744,1.417,3.312,2.958,3.619,1.555,1.035,2.179,3.963,3.927,4,2.411,2.011,2.755,2.898,2.612,3.393,3.936,3.879,4,2.639,2.166,3.096,3.957,3.91,4,3.208,2.866,3.642,1.618,1.185,2.065,1.161,0.727,1.725,1.047,0.926,1.211
2012,1.092,0.91,1.305,2.824,2.513,3.279,1.681,1.25,2.007,2.616,2.098,3.208,1.287,0.775,1.763,1.098,0.699,1.654,1.064,0.744,1.417,3.312,2.958,3.619,1.555,1.035,2.179,3.963,3.927,4,2.411,2.011,2.755,2.898,2.612,3.393,3.936,3.879,4,2.26,1.652,2.801,3.957,3.91,4,3.208,2.866,3.642,1.618,1.185,2.065,0.901,0.277,1.33,0.843,0.663,1.062
2013,1.092,0.91,1.305,2.824,2.513,3.279,1.681,1.25,2.007,2.616,2.098,3.208,1.287,0.775,1.763,1.098,0.699,1.654,1.064,0.744,1.417,3.312,2.958,3.619,1.555,1.035,2.179,3.963,3.927,4,2.411,2.011,2.755,2.898,2.612,3.393,3.936,3.879,4,2.26,1.652,2.801,3.957,3.91,4,3.208,2.866,3.642,1.618,1.185,2.065,0.901,0.277,1.33,0.843,0.663,1.062
2014,1.232,1.061,1.441,2.824,2.513,3.279,1.681,1.25,2.007,2.616,2.098,3.208,1.287,0.775,1.763,1.098,0.699,1.654,1.064,0.744,1.417,3.312,2.958,3.619,1.555,1.035,2.179,3.963,3.927,4,2.411,2.011,2.755,2.898,2.612,3.393,3.936,3.879,4,2.26,1.652,2.801,3.957,3.91,4,3.208,2.866,3.642,1.618,1.185,2.065,0.565,0.057,0.825,0.843,0.663,1.062
2015,1.494,1.331,1.684,2.824,2.513,3.279,1.681,1.25,2.007,2.616,2.098,3.208,1.287,0.775,1.763,1.098,0.699,1.654,1.064,0.744,1.417,3.312,2.958,3.619,1.555,1.035,2.179,3.963,3.927,4,2.411,2.011,2.755,2.594,2.203,3.031,3.936,3.879,4,1.999,1.425,2.666,3.957,3.91,4,3.208,2.866,3.642,1.934,1.533,2.373,0.565,0.057,0.825,0.843,0.663,1.062
2016,1.416,1.248,1.608,2.824,2.513,3.279,1.681,1.25,2.007,2.616,2.098,3.208,0.933,0.48,1.414,0.483,0.002,0.69,1.064,0.744,1.417,3.312,2.958,3.619,1.555,1.035,2.179,3.963,3.927,4,2.411,2.011,2.755,2.594,2.203,3.031,3.689,3.524,3.952,1.999,1.425,2.666,3.957,3.91,4,3.208,2.866,3.642,1.934,1.533,2.373,0.565,0.057,0.825,0.377,0.014,0.547
2017,1.416,1.248,1.608,2.824,2.513,3.279,1.681,1.25,2.007,2.616,2.098,3.208,0.933,0.48,1.414,0.483,0.002,0.69,1.064,0.744,1.417,3.312,2.958,3.619,1.555,1.035,2.179,3.963,3.927,4,2.411,2.011,2.755,2.594,2.203,3.031,3.689,3.524,3.952,1.999,1.425,2.666,3.957,3.91,4,3.208,2.866,3.642,1.934,1.533,2.373,0.565,0.057,0.825,0.377,0.014,0.547
2018,1.388,1.113,1.602,2.859,2.479,3.285,1.681,1.25,2.007,2.616,2.098,3.208,0.933,0.48,1.414,0.483,0.002,0.69,1.064,0.744,1.417,3.312,2.958,3.619,1.555,1.035,2.179,3.963,3.927,4,2.411,2.011,2.755,2.594,2.203,3.031,3.689,3.524,3.952,1.999,1.425,2.666,3.957,3.91,4,3.208,2.866,3.642,1.934,1.533,2.373,0.565,0.057,0.825,0.377,0.014,0.547
