Year,CSO anti-system movements,CSO anti-system movements CI (Low),CSO anti-system movements CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Government capacity to regulate online content,Government capacity to regulate online content CI (Low),Government capacity to regulate online content CI (High),Government cyber security capacity,Government cyber security capacity CI (Low),Government cyber security capacity CI (High),Government dissemination of false information abroad,Government dissemination of false information abroad CI (Low),Government dissemination of false information abroad CI (High),Government dissemination of false information domestic,Government dissemination of false information domestic CI (Low),Government dissemination of false information domestic CI (High),Government Internet filtering capacity,Government Internet filtering capacity CI (Low),Government Internet filtering capacity CI (High),Government Internet filtering in practice,Government Internet filtering in practice CI (Low),Government Internet filtering in practice CI (High),Government Internet shut down capacity,Government Internet shut down capacity CI (Low),Government Internet shut down capacity CI (High),Government Internet shut down in practice,Government Internet shut down in practice CI (Low),Government Internet shut down in practice CI (High),Government online content regulation approach,Government online content regulation approach CI (Low),Government online content regulation approach CI (High),Government social media alternatives,Government social media alternatives CI (Low),Government social media alternatives CI (High),Government social media censorship in practice,Government social media censorship in practice CI (Low),Government social media censorship in practice CI (High),Government social media monitoring,Government social media monitoring CI (Low),Government social media monitoring CI (High),Government social media shut down in practice,Government social media shut down in practice CI (Low),Government social media shut down in practice CI (High),Ideology,Ideology CI (Low),Ideology CI (High),Online media fractionalization,Online media fractionalization CI (Low),Online media fractionalization CI (High),Polarization of society,Polarization of society CI (Low),Polarization of society CI (High),Use of social media to organize offline violence,Use of social media to organize offline violence CI (Low),Use of social media to organize offline violence CI (High)
2000,0.18,0,0.301,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.346,3.142,3.6,3.299,3.041,3.566,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
2001,0.18,0,0.301,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.333,3.06,3.545,3.31,3.041,3.556,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
2002,0.18,0,0.301,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.333,3.06,3.545,3.311,3.042,3.557,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
2003,0.18,0.027,0.27,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.333,3.06,3.545,3.311,3.042,3.557,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
2004,0.18,0.027,0.27,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.333,3.06,3.545,3.3,3.038,3.554,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
2005,0.18,0.027,0.27,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.333,3.06,3.545,3.3,3.038,3.554,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
2006,0.18,0.027,0.27,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.333,3.06,3.545,3.32,3.052,3.547,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
2007,0.18,0.027,0.27,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.333,3.06,3.545,3.32,3.052,3.547,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
2008,0.18,0.027,0.27,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.333,3.06,3.545,3.304,3.045,3.559,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
2009,0.18,0.027,0.27,3.781,3.485,4.082,2.596,2.314,2.852,2.971,2.716,3.221,3.333,3.06,3.545,3.299,3.022,3.534,2.517,2.305,2.802,3.462,3.221,3.857,1.626,1.241,2.092,3.978,3.951,4,2.643,2.332,2.961,3.904,3.832,4,3.664,3.479,3.857,3.297,2.959,3.676,3.973,3.941,4,1.653,1.382,1.925,2.949,2.663,3.172,2.566,2.318,2.836,1.859,1.78,2
