Year,CSO anti-system movements,CSO anti-system movements CI (Low),CSO anti-system movements CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Government capacity to regulate online content,Government capacity to regulate online content CI (Low),Government capacity to regulate online content CI (High),Government cyber security capacity,Government cyber security capacity CI (Low),Government cyber security capacity CI (High),Government dissemination of false information abroad,Government dissemination of false information abroad CI (Low),Government dissemination of false information abroad CI (High),Government dissemination of false information domestic,Government dissemination of false information domestic CI (Low),Government dissemination of false information domestic CI (High),Government Internet filtering capacity,Government Internet filtering capacity CI (Low),Government Internet filtering capacity CI (High),Government Internet filtering in practice,Government Internet filtering in practice CI (Low),Government Internet filtering in practice CI (High),Government Internet shut down capacity,Government Internet shut down capacity CI (Low),Government Internet shut down capacity CI (High),Government Internet shut down in practice,Government Internet shut down in practice CI (Low),Government Internet shut down in practice CI (High),Government online content regulation approach,Government online content regulation approach CI (Low),Government online content regulation approach CI (High),Government social media alternatives,Government social media alternatives CI (Low),Government social media alternatives CI (High),Government social media censorship in practice,Government social media censorship in practice CI (Low),Government social media censorship in practice CI (High),Government social media monitoring,Government social media monitoring CI (Low),Government social media monitoring CI (High),Government social media shut down in practice,Government social media shut down in practice CI (Low),Government social media shut down in practice CI (High),Ideology,Ideology CI (Low),Ideology CI (High),Online media fractionalization,Online media fractionalization CI (Low),Online media fractionalization CI (High),Polarization of society,Polarization of society CI (Low),Polarization of society CI (High),Use of social media to organize offline violence,Use of social media to organize offline violence CI (Low),Use of social media to organize offline violence CI (High)
2000,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.814,2.704,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
2001,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.814,2.704,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
2002,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.814,2.704,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
2003,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.814,2.704,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
2004,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.814,2.704,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
2005,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.952,2.903,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
2006,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.952,2.903,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
2007,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.952,2.903,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
2008,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.952,2.903,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
2009,0.062,0,0.107,0.143,0.011,0.213,3.909,3.828,4,3.732,3.572,4,0.697,0.312,1.135,1.286,1.042,1.689,2.952,2.903,3,0.161,0,0.279,3.95,3.895,4,0.488,0.003,0.724,0.18,0,0.3,0.24,0.001,0.384,0.289,0,0.441,0.218,0,0.345,0.51,0.026,0.76,3.89,3.808,4,3.935,3.87,4,3.709,3.552,3.999,1.976,1.945,2
