Year,CSO anti-system movements,CSO anti-system movements CI (Low),CSO anti-system movements CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Government capacity to regulate online content,Government capacity to regulate online content CI (Low),Government capacity to regulate online content CI (High),Government cyber security capacity,Government cyber security capacity CI (Low),Government cyber security capacity CI (High),Government dissemination of false information abroad,Government dissemination of false information abroad CI (Low),Government dissemination of false information abroad CI (High),Government dissemination of false information domestic,Government dissemination of false information domestic CI (Low),Government dissemination of false information domestic CI (High),Government Internet filtering capacity,Government Internet filtering capacity CI (Low),Government Internet filtering capacity CI (High),Government Internet filtering in practice,Government Internet filtering in practice CI (Low),Government Internet filtering in practice CI (High),Government Internet shut down capacity,Government Internet shut down capacity CI (Low),Government Internet shut down capacity CI (High),Government Internet shut down in practice,Government Internet shut down in practice CI (Low),Government Internet shut down in practice CI (High),Government online content regulation approach,Government online content regulation approach CI (Low),Government online content regulation approach CI (High),Government social media alternatives,Government social media alternatives CI (Low),Government social media alternatives CI (High),Government social media censorship in practice,Government social media censorship in practice CI (Low),Government social media censorship in practice CI (High),Government social media monitoring,Government social media monitoring CI (Low),Government social media monitoring CI (High),Government social media shut down in practice,Government social media shut down in practice CI (Low),Government social media shut down in practice CI (High),Ideology,Ideology CI (Low),Ideology CI (High),Online media fractionalization,Online media fractionalization CI (Low),Online media fractionalization CI (High),Polarization of society,Polarization of society CI (Low),Polarization of society CI (High),Use of social media to organize offline violence,Use of social media to organize offline violence CI (Low),Use of social media to organize offline violence CI (High)
2000,0.652,0.465,0.83,4.301,3.954,4.679,2.726,2.413,3.008,3.156,2.843,3.45,3.553,3.278,3.779,3.645,3.492,3.971,2.301,2.033,2.527,3.019,2.798,3.291,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.83,3.75,3.999,3.249,3.008,3.485,3.974,3.945,4,1.128,0.634,1.616,2.357,2.045,2.66,1.048,0.842,1.312,1.283,1.14,1.424
2001,0.652,0.465,0.83,4.301,3.954,4.679,2.726,2.413,3.008,3.156,2.843,3.45,3.553,3.278,3.779,3.645,3.492,3.971,2.301,2.033,2.527,3.019,2.798,3.291,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.83,3.75,3.999,3.249,3.008,3.485,3.974,3.945,4,1.128,0.634,1.616,2.357,2.045,2.66,1.048,0.842,1.312,1.283,1.14,1.424
2002,0.652,0.465,0.83,4.301,3.954,4.679,2.726,2.413,3.008,3.156,2.843,3.45,3.553,3.278,3.779,3.645,3.492,3.971,2.301,2.033,2.527,3.019,2.798,3.291,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.83,3.75,3.999,3.249,3.008,3.485,3.974,3.945,4,1.128,0.634,1.616,2.357,2.045,2.66,1.048,0.842,1.312,1.212,1.07,1.343
2003,0.652,0.465,0.83,4.337,4.056,4.726,2.726,2.413,3.008,3.156,2.843,3.45,3.553,3.278,3.779,3.645,3.492,3.971,2.301,2.033,2.527,3.019,2.798,3.291,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.83,3.75,3.999,3.249,3.008,3.485,3.974,3.945,4,1.063,0.493,1.484,2.357,2.045,2.66,1.048,0.842,1.312,1.212,1.07,1.343
2004,0.652,0.465,0.83,4.337,4.056,4.726,2.726,2.413,3.008,3.156,2.843,3.45,3.553,3.278,3.779,3.645,3.492,3.971,2.301,2.033,2.527,3.019,2.798,3.291,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.83,3.75,3.999,3.249,3.008,3.485,3.974,3.945,4,1.063,0.493,1.484,2.357,2.045,2.66,1.048,0.842,1.312,1.212,1.07,1.343
2005,0.652,0.465,0.83,4.337,4.056,4.726,2.726,2.413,3.008,3.156,2.843,3.45,3.553,3.278,3.779,3.645,3.492,3.971,2.301,2.033,2.527,3.019,2.798,3.291,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.83,3.75,3.999,3.249,3.008,3.485,3.974,3.945,4,1.063,0.493,1.484,2.357,2.045,2.66,1.048,0.842,1.312,1.212,1.07,1.343
2006,0.652,0.465,0.83,4.337,4.056,4.726,2.726,2.413,3.008,3.156,2.843,3.45,3.553,3.278,3.779,3.645,3.492,3.971,2.301,2.033,2.527,3.019,2.798,3.291,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.83,3.75,3.999,3.249,3.008,3.485,3.974,3.945,4,1.063,0.493,1.484,2.357,2.045,2.66,1.048,0.842,1.312,1.212,1.07,1.343
2007,0.652,0.465,0.83,4.337,4.056,4.726,2.726,2.413,3.008,3.156,2.843,3.45,3.553,3.278,3.779,3.645,3.492,3.971,2.301,2.033,2.527,3.019,2.798,3.291,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.83,3.75,3.999,3.249,3.008,3.485,3.974,3.945,4,1.063,0.493,1.484,2.357,2.045,2.66,1.048,0.842,1.312,1.212,1.07,1.343
2008,0.652,0.465,0.83,3.787,3.463,4.109,2.726,2.413,3.008,3.156,2.843,3.45,3.345,3.073,3.582,3.277,3,3.529,2.301,2.033,2.527,2.943,2.697,3.19,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.536,3.379,3.74,2.984,2.772,3.211,3.974,3.945,4,1.063,0.493,1.484,2.357,2.045,2.66,0.886,0.664,1.121,1.212,1.07,1.343
2009,0.652,0.465,0.83,3.787,3.463,4.109,2.726,2.413,3.008,3.156,2.843,3.45,3.345,3.073,3.582,3.277,3,3.529,2.301,2.033,2.527,2.943,2.697,3.19,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.536,3.379,3.74,2.984,2.772,3.211,3.974,3.945,4,1.063,0.493,1.484,2.357,2.045,2.66,0.886,0.664,1.121,1.212,1.07,1.343
2010,0.652,0.465,0.83,3.787,3.463,4.109,2.726,2.413,3.008,3.156,2.843,3.45,3.345,3.073,3.582,3.277,3,3.529,2.301,2.033,2.527,2.943,2.697,3.19,2.481,2.043,3.034,3.98,3.955,4,2.495,2.167,2.72,3.799,3.713,4,3.536,3.379,3.74,2.984,2.772,3.211,3.974,3.945,4,1.063,0.493,1.484,2.357,2.045,2.66,0.886,0.664,1.121,1.212,1.07,1.343
