Year,CSO anti-system movements,CSO anti-system movements CI (Low),CSO anti-system movements CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Government capacity to regulate online content,Government capacity to regulate online content CI (Low),Government capacity to regulate online content CI (High),Government cyber security capacity,Government cyber security capacity CI (Low),Government cyber security capacity CI (High),Government dissemination of false information abroad,Government dissemination of false information abroad CI (Low),Government dissemination of false information abroad CI (High),Government dissemination of false information domestic,Government dissemination of false information domestic CI (Low),Government dissemination of false information domestic CI (High),Government Internet filtering capacity,Government Internet filtering capacity CI (Low),Government Internet filtering capacity CI (High),Government Internet filtering in practice,Government Internet filtering in practice CI (Low),Government Internet filtering in practice CI (High),Government Internet shut down capacity,Government Internet shut down capacity CI (Low),Government Internet shut down capacity CI (High),Government Internet shut down in practice,Government Internet shut down in practice CI (Low),Government Internet shut down in practice CI (High),Government online content regulation approach,Government online content regulation approach CI (Low),Government online content regulation approach CI (High),Government social media alternatives,Government social media alternatives CI (Low),Government social media alternatives CI (High),Government social media censorship in practice,Government social media censorship in practice CI (Low),Government social media censorship in practice CI (High),Government social media monitoring,Government social media monitoring CI (Low),Government social media monitoring CI (High),Government social media shut down in practice,Government social media shut down in practice CI (Low),Government social media shut down in practice CI (High),Ideology,Ideology CI (Low),Ideology CI (High),Online media fractionalization,Online media fractionalization CI (Low),Online media fractionalization CI (High),Polarization of society,Polarization of society CI (Low),Polarization of society CI (High),Use of social media to organize offline violence,Use of social media to organize offline violence CI (Low),Use of social media to organize offline violence CI (High)
2000,0.723,0.458,0.953,3.799,3.403,4.221,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.875,3.803,4,3.07,2.795,3.318,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
2001,0.723,0.458,0.953,3.863,3.47,4.227,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.875,3.803,4,3.07,2.795,3.318,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
2002,0.723,0.458,0.953,3.863,3.47,4.227,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.875,3.803,4,3.07,2.795,3.318,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
2003,0.723,0.458,0.953,3.863,3.47,4.227,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.868,3.799,4,3.07,2.795,3.318,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
2004,0.723,0.458,0.953,3.863,3.47,4.227,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.877,3.805,4,3.07,2.795,3.318,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
2005,0.723,0.458,0.953,3.863,3.47,4.227,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.877,3.805,4,3.07,2.795,3.318,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
2006,0.723,0.458,0.953,3.863,3.47,4.227,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.877,3.805,4,3.074,2.823,3.351,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
2007,0.723,0.458,0.953,3.863,3.47,4.227,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.877,3.805,4,3.079,2.845,3.376,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
2008,0.723,0.458,0.953,3.412,3.098,3.823,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.877,3.805,4,3.079,2.845,3.376,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
2009,0.75,0.529,0.95,3.433,3.153,3.742,2.489,2.211,2.712,2.978,2.649,3.289,3.063,2.88,3.262,3.012,2.836,3.207,1.598,1.415,1.825,3.512,3.292,3.803,1.904,1.588,2.292,3.844,3.769,4,1.704,1.467,1.985,3.177,2.985,3.403,3.877,3.805,4,3.079,2.845,3.376,3.836,3.748,4,1.747,1.292,2.145,1.006,0.694,1.347,1.434,1.212,1.707,1.029,0.923,1.178
